Scheme Name;Net Asset Value
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW;10.3191
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW;10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW;10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus;15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW;10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth;29.0180
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW;12.7985
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW;10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus;13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option;13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth;28.0300
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW;10.8452
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option;12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend;10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth;21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend;10.3305
Invesco India Banking & PSU Debt Fund - Daily IDCW (Reinvestment);1010.7224
Invesco India Banking & PSU Debt Fund - Direct Plan -  Growth Option;2069.4009
Invesco India Banking & PSU Debt Fund - Direct Plan - Daily IDCW (Reinvestment);1031.9645
Invesco India Banking & PSU Debt Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment);1012.3211
Invesco India Banking & PSU Debt Fund - Growth Option;1945.7258
Invesco India Banking & PSU Debt Fund - Monthly IDCW (Payout / Reinvestment);1032.1961
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option;11.4227
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option;11.4227
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option;11.2577
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option;11.2577
Kotak Banking and PSU Debt - Annual Dividend;16.1842
Kotak Banking and PSU Debt - Daily Dividend Reinvestment;10.188
Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment;10.2604
Kotak Banking and PSU Debt - Growth;56.0697
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option;10.5342
Kotak Banking and PSU Debt Direct - Annual Dividend;17.1427
Kotak Banking and PSU Debt Direct - Growth;57.9493
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option;10.2479
LIC MF Banking & PSU Debt Fund-Direct Plan-Daily IDCW;12.9463
LIC MF Banking & PSU Debt Fund-Direct Plan-Growth;31.9964
LIC MF Banking & PSU Debt Fund-Direct Plan-Monthly IDCW;12.0503
LIC MF Banking & PSU Debt Fund-Direct Plan-Weekly IDCW;10.0534
LIC MF Banking & PSU Debt Fund-Regular Plan-Daily IDCW;10.8898
LIC MF Banking & PSU Debt Fund-Regular Plan-Growth;29.9761
LIC MF Banking & PSU Debt Fund-Regular Plan-Monthly IDCW;11.2189
LIC MF Banking & PSU Debt Fund-Regular Plan-Weekly IDCW;10.0508
Mirae Asset Banking and PSU Debt Fund Direct Growth;11.3422
Mirae Asset Banking and PSU Debt Fund Direct IDCW;11.3418
Mirae Asset Banking and PSU Debt Fund Regular Growth Plan;11.1973
Mirae Asset Banking and PSU Debt Fund Regular IDCW;11.1982
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option;18.3736
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option;18.3734
Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option;12.3452
Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option;17.8466
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option;18.3734
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option;10.6710
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option;10.6252
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option;10.2729
NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option;17.8466
NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option;10.6058
NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option;10.5781
NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option;10.2736
PGIM India Banking and PSU Debt fund - Bonus;13.3974
PGIM India Banking and PSU Debt Fund - Direct Plan - Regular Dividend;10.2776
PGIM India Banking and PSU Debt fund - Monthly Dividend;10.7742
PGIM India Banking and PSU Debt fund - Quarterly Bonus;11.6111
PGIM India Banking and PSU Debt fund - Quarterly Dividend;10.6961
PGIM India Banking and PSU Debt Fund - Regular Dividend;10.2642
PGIM India Banking and PSU Debt fund - Weekly Dividend;10.2735
PGIM India Banking and PSU Debt fund -Growth;21.0018
PGIM India Banking and PSU Debt fund- Direct Plan-  Quarterly Bonus;13.6246
PGIM India Banking and PSU Debt fund- Direct Plan-  Regular Bonus;15.2364
PGIM India Banking and PSU Debt fund- Direct Plan- Annual Dividend;11.0995
PGIM India Banking and PSU Debt fund- Direct Plan- Monthly Dividend;10.9284
PGIM India Banking and PSU Debt fund- Direct Plan- Quarterly Dividend;10.7588
PGIM India Banking and PSU Debt fund- Direct Plan- Weekly Dividend;10.2259
PGIM India Banking and PSU Debt fund- Direct Plan-Growth;22.0053
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW);1246.0166
SBI BANKING & PSU FUND - Direct Plan - Growth;2828.8163
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW);1208.9493
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW);1243.2478
SBI BANKING & PSU FUND - Regular Paln - Growth;2686.6161
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW);1225.7098
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW);1149.9841
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW);1225.4529
Sundaram Banking & PSU Debt Fund - Direct Growth;11.7065
Sundaram Banking & PSU Debt Fund - Direct Monthly Dividend;11.4008
Sundaram Banking & PSU Debt Fund - Direct Quarterly Dividend;10.6356
Sundaram Banking & PSU Debt Fund - Regular Annual Bonus;11.6319
Sundaram Banking & PSU Debt Fund - Regular Growth;11.6493
Sundaram Banking & PSU Debt Fund - Regular Monthly Dividend;11.1411
Sundaram Banking & PSU Debt Fund - Regular Quarterly Bonus;11.1681
Sundaram Banking & PSU Debt Fund - Regular Weekly Dividend;10.1418
Sundaram Banking & PSU Debt Fund Regular Quarterly Dividend;11.0236
Sundaram Banking and PSU Debt Fund Direct Plan - Bonus;18.6890
Sundaram Banking and PSU Debt Fund Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW);10.2300
Sundaram Banking and PSU Debt Fund Direct Plan - Growth;37.3580
Sundaram Banking and PSU Debt Fund Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW);11.5642
Sundaram Banking and PSU Debt Fund Regular Plan - Bonus;18.6279
Sundaram Banking and PSU Debt Fund Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW);10.3550
Sundaram Banking and PSU Debt Fund Regular Plan - Growth;36.9402
Sundaram Banking and PSU Debt Fund Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW);11.6160
Sundaram Banking and PSU Debt Fund Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW);12.1099
Sundaram Banking and PSU Debt Fund Retail Plan - Growth;33.2909
Sundaram Banking and PSU Debt Fund Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW);11.5205
SundaramBanking&PSUDebtFund-RegularDailyDividendReinvestment;11.6582
Tata Banking & PSU Debt Fund  Direct Plan - Payout of Income Distribution cum capital withdrawal option ;12.6139
Tata Banking & PSU Debt Fund  Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option ;12.6139
Tata Banking & PSU Debt Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option ;12.3819
Tata Banking & PSU Debt Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option ;12.3819
Tata Banking & PSU Debt Fund-Direct Plan-Growth;12.6139
Tata Banking & PSU Debt Fund-Regular Plan-Growth;12.3819
TRUSTMF BANKING & PSU DEBT FUND - DIRECT GROWTH;1108.146
TRUSTMF BANKING & PSU DEBT FUND - REGULAR GROWTH;1095.0676
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION;1037.6791
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL;1111.3843
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION;1035.9961
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL;1051.6113
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL;1027.6829
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL;1024.872
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL;1097.4531
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL;1028.4369
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL;1039.798
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL;1023.0226
UTI Banking & PSU Debt Fund - Direct Plan - Annual IDCW;12.2145
UTI Banking & PSU Debt Fund - Direct Plan - Flexi IDCW;16.5059
UTI Banking & PSU Debt Fund - Direct Plan - Growth Option;19.1544
UTI Banking & PSU Debt Fund - Direct Plan - Half-Yearly IDCW;12.7104
UTI Banking & PSU Debt Fund - Direct Plan - Monthly IDCW;12.6824
UTI Banking & PSU Debt Fund - Direct Plan - Quarterly IDCW;14.2564
UTI Banking & PSU Debt Fund - Regular Plan - Annual IDCW;12.0699
UTI Banking & PSU Debt Fund - Regular Plan - Flexi IDCW;12.6972
UTI Banking & PSU Debt Fund - Regular Plan - Half-Yearly IDCW;12.6442
UTI Banking & PSU Debt Fund - Regular Plan - Monthly IDCW;12.5561
UTI Banking & PSU Debt Fund - Regular Plan - Quarterly IDCW;12.9935
UTI Banking & PSU Debt Fund- Regular Plan - Growth Option;18.9341
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan;97.3714
